"PLOT","Accession","LOC","Year","REP","Block","Design","Trial","Settweight","NPH","Vigor","AUDPC_YMV","rAUDPC_YMV","AUDPC_YAD","rAUDPC_YAD","Yield.per.plot..kg.","TTNPL","TTWPL","Yield_udj","YIELD","ATW","DMC","Oxint180Minutes","OXBI"
19,"TDr9518544","Kabba",2020,1,4,"Augmented","APT",0.144,4,2,206.25,0.022916667,157.5,0.0175,2.2,1.75,0.8,6.4,6.4,0.46,NA,NA,NA
49,"TDr9519177","Ibadan",2020,1,10,"Augmented","APT",0.75,4,3,236.25,0.0196875,120,0.01,12.3,2.5,3.1,24.6,24.6,1.23,23.33,3,-0.6
2152,"TDr1716040","Ibadan",2020,2,2,"Partial replicated","TFE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,"TDr1525208","Kabba",2020,1,23,"Augmented","APT",0.618,5,2,180,0.02,138,0.015333333,4.2,1,0.725,5.8,5.8,0.73,NA,NA,NA
11,"TDr9519177","Ubiaja",2020,1,3,"Augmented","APT",0.61,2,2,180,0.015,105,0.00875,2.36,2,1.18,5.9,4.72,0.59,26,2,-0.2
8003,"TDr8902665","Ibadan",2020,1,8,"Augmented","SCG",0.54,3,2,335,0.027916667,225,0.01875,4.03,2,1.34,8.06,13.43,0.67,35.33,0,-0.13
1151,"TDr1716090","Ikenne",2020,1,1,"Partial replicated","TFE",NA,4,2,195,0.01625,150,0.0125,0.44,1,0.11,0.63,1.1,0.11,NA,NA,NA
119,"TDr1618108","Ibadan",2020,1,3,"Lattice","PPT3",0.72,4,3,235.5,0.019625,132.75,0.0110625,13.5,1,3.4,27,33.75,3.38,32.67,0,-0.18
132,"TDr1655006","Ibadan",2020,1,6,"Lattice","PPT1",0.71,3,2,320,0.026666667,185,0.015416667,6.63,1,2.21,13.26,22.1,2.21,28,0,0.01
2070,"TDr1739045","Ikenne",2020,2,2,"Partial replicated","TFE",NA,3,3,225,0.01875,150,0.0125,1.685,1,0.56,3.37,5.62,0.56,NA,0,NA
2076,"TDr1739063","Ikenne",2020,2,2,"Partial replicated","TFE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,"TDr1683039AB","Ibadan",2020,1,6,"Lattice","PPT2",0.41,2,3,337.5,0.028125,180,0.015,4.8,2,2.4,9.6,24,1.2,26,0,-0.06
2027,"TDr1738059","Ikenne",2020,2,2,"Partial replicated","TFE",NA,4,3,195,0.01625,150,0.0125,1.15,1,0.29,3.83,2.88,0.29,NA,0,NA
741,"TDr1773026","Abuja",2020,1,6,"Augmented","SCG",0.45,3,3,205,0.022777778,140,0.015555556,2.2,1,0.733333333,7.33,7.33,0.73,NA,NA,NA
69,"TDr9519177","Ibadan",2020,1,14,"Augmented","APT",0.77,3,2,330,0.0275,145,0.012083333,9.1,1.3,3,18.2,18.2,2.28,34,0,0.2
1125,"TDr1719067","Ikenne",2020,1,1,"Partial replicated","TFE",NA,4,3,165,0.01375,165,0.01375,1.91,1.75,0.48,3.82,4.78,0.27,NA,0,NA
141,"TDr1617610","Ibadan",2020,1,6,"Lattice","PPT3",0.7,3,2,387.75,0.0323125,277.5,0.023125,6.4,1.3,2.1,12.8,21.33,1.6,30,0,0.24
99,"TDr8902665","Abuja",2020,1,20,"Augmented","APT",0.529,3,3,195,0.021666667,173.75,0.019305556,3.6,2,1.2,7.2,7.2,0.6,NA,NA,NA
86,"TDr9518544","Ubiaja",2020,1,18,"Augmented","APT",0.37,2,3,130,0.010833333,110,0.009166667,3.57,2,1.785,11.9,7.14,0.89,28.67,2,-0.08
1070,"TDr1739045","Ikenne",2020,1,1,"Partial replicated","TFE",NA,6,3,255,0.02125,150,0.0125,1.905,1.5,0.32,2.38,3.18,0.21,NA,3,NA
13,"TDr1525113","Abuja",2020,1,3,"Augmented","APT",0.417,4,2,240,0.026666667,120,0.013333333,4.5,1.25,1.125,9,9,0.9,NA,NA,NA
616,"TDr1758007","Abuja",2020,1,4,"Augmented","SCG",0.386,3,3,200,0.022222222,135,0.015,5.3,4.333333333,1.766666667,17.67,17.67,0.41,NA,NA,NA
48,"TDr1526015","Abuja",2020,1,10,"Augmented","APT",0.75,4,2,187.5,0.020833333,120,0.013333333,3.2,1,0.8,6.4,6.4,0.8,NA,NA,NA
30,"TDrMeccakusa","Kabba",2020,1,6,"Augmented","APT",0.322,2,2,215,0.023888889,186.25,0.020694444,0.9,2,0.9,3.6,3.6,0.45,NA,NA,NA
1055,"TDr1739089","Ikenne",2020,1,1,"Partial replicated","TFE",NA,9,3,210,0.0175,165,0.01375,4.615,1.67,0.51,3.85,5.13,0.31,NA,1,NA
2244,"TDr1741089","Ikenne",2020,2,2,"Partial replicated","TFE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545,"TDr1760032","Abuja",2020,1,3,"Augmented","SCG",0.257,2,3,217.5,0.024166667,135,0.015,2.1,1,1.05,10.5,10.5,1.05,NA,NA,NA
15004,"TDr17089017","Ibadan",2020,1,15,"Augmented","SCG",0.52,5,3,336,0.028,132,0.011,12.81,1.6,2.56,25.62,25.62,1.6,28.67,0,-0.23
134,"TDr1617709","Ibadan",2020,1,5,"Lattice","PPT3",0.7,4,2,316.5,0.026375,126.75,0.0105625,8.05,1.3,2,16.1,20.13,1.61,26.67,0,-0.17
119,"TDr1652005","Ibadan",2020,1,4,"Lattice","PPT1",0.75,5,3,345,0.02875,210,0.0175,19.64,1,3.93,39.28,39.28,3.93,30.67,0,0.08
1185,"TDr1716030","Ibadan",2020,1,1,"Partial replicated","TFE",NA,1,2,240,0.02,NA,NA,0.68,1,0.68,1.7,6.8,0.68,NA,NA,NA
